AdultID,Sex,Treatment,Genetic ,Rearing,Day,Age,Timepoint,CORT,Integral,Plate,Mass,Free_Hormone,Per_CBG_Sat,CBG_Conc
3617,M,low,4,2,16,16,Stress,24.10528,353.57259,14,12.05,NA,NA,NA
3617,M,low,4,2,40,40,Baseline,0.61753,234.57045,14,14.82,NA,NA,NA
3617,M,low,4,2,40,40,Stress,16.62083,234.57045,14,14.82,NA,NA,NA
3617,M,low,4,2,90,90,Baseline,0.29574,165.701025,14,15.62,NA,NA,NA
3617,M,low,4,2,90,90,Stress,11.91269,165.701025,14,15.62,NA,NA,NA
3618,M,cont,4,2,16,16,Baseline,1.96466,217.248225,16,12.2,NA,NA,NA
3618,M,cont,4,2,16,16,Stress,13.69121,217.248225,16,12.2,NA,NA,NA
3618,M,cont,4,2,40,40,Baseline,0.48656,141.089505,16,13.68,NA,NA,NA
3618,M,cont,4,2,40,40,Stress,9.85639,141.089505,16,13.68,NA,NA,NA
3618,M,cont,4,2,90,90,Baseline,0.86381,98.87451,16,14.54,NA,NA,NA
3618,M,cont,4,2,90,90,Stress,6.26827,98.87451,16,14.54,NA,NA,NA
3619,F,low,15,2,16,15,Baseline,2.90977,229.479555,11,12.08,0.046741001,3.06,272.7713505
3619,F,low,15,2,16,15,Stress,13.4421,229.479555,11,12.08,0.416212799,21.95,174.8440619
3619,F,low,15,2,40,39,Baseline,0.28727,58.66098,11,13.96,NA,NA,NA
3619,F,low,15,2,40,39,Stress,3.99415,58.66098,11,13.96,NA,NA,NA
3619,F,low,15,2,90,89,Baseline,1.83882,59.13819,11,14.32,0.023163748,1.540999622,342.8732885
3619,F,low,15,2,90,89,Stress,2.13316,59.13819,11,14.32,NA,NA,NA
3620,M,per,4,15,16,17,Baseline,1.62594,267.249645,1,11.07,NA,NA,NA
3620,M,per,4,15,16,17,Stress,17.80901,267.249645,1,11.07,NA,NA,NA
3620,M,per,4,15,40,40,Baseline,1.24612,52.934115,1,14.26,NA,NA,NA
3620,M,per,4,15,40,40,Stress,2.39801,52.934115,1,14.26,NA,NA,NA
3620,M,per,4,15,90,90,Baseline,1.100072053,100.4488089,1,15.76,NA,NA,NA
3620,M,per,4,15,90,90,Stress,6.09612,100.4488089,1,15.76,NA,NA,NA
3621,F,low,32,15,16,17,Baseline,0.39705,88.388055,6,11.37,0.00619528,0.416855012,273.4025341
3621,F,low,32,15,16,17,Stress,6.06198,88.388055,6,11.37,0.118160817,7.393549845,235.0255469
3621,F,low,32,15,40,40,Baseline,0.53192,187.949625,6,13.21,NA,NA,NA
3621,F,low,32,15,40,40,Stress,13.27207,187.949625,6,13.21,NA,NA,NA
3621,F,low,32,15,90,90,Baseline,0.97866,129.514005,6,13.74,0.019436493,1.3,216.3912995
3621,F,low,32,15,90,90,Stress,8.39749,129.514005,6,13.74,NA,NA,NA
3622,F,per,10,15,16,16,Baseline,0.37143,195.619185,12,11.47,0.006453224,0.434135689,245.4289878
3622,F,per,10,15,16,16,Stress,14.03634,195.619185,12,11.47,0.252306906,14.56479249,276.3967347
3622,F,per,10,15,40,39,Baseline,0.58011,161.959545,12,15.02,NA,NA,NA
3622,F,per,10,15,40,39,Stress,11.28798,161.959545,12,15.02,NA,NA,NA
3622,F,per,10,15,90,89,Baseline,0.904113779,135.1845174,12,14.85,0.010768805,0.722365866,359.7216164
3622,F,per,10,15,90,89,Stress,8.90864,135.1845174,12,14.85,NA,NA,NA
3623,M,per,32,15,16,16,Baseline,2.4703,199.78293,16,11.81,NA,NA,NA
3623,M,per,32,15,16,16,Stress,11.77948,199.78293,16,11.81,NA,NA,NA
3623,M,per,32,15,40,39,Baseline,0.85106,257.52363,16,13.91,NA,NA,NA
3623,M,per,32,15,40,39,Stress,18.03564,257.52363,16,13.91,NA,NA,NA
3623,M,per,32,15,90,89,Baseline,0.92797,162.37119,16,14.84,NA,NA,NA
3623,M,per,32,15,90,89,Stress,10.89331,162.37119,16,14.84,NA,NA,NA
3624,F,low,10,23,16,16,Baseline,1.276572782,35.3148609,3,12.8,3.661528233,1.51,242.7606553
3624,F,low,10,23,16,16,Stress,1.05566,35.3148609,3,12.8,3.038028648,0.58,525.3053448
3624,F,low,10,23,40,40,Baseline,7.94611,168.773115,3,14.55,NA,NA,NA
3624,F,low,10,23,40,40,Stress,2.7898,168.773115,3,14.55,NA,NA,NA
3624,F,low,10,23,90,90,Baseline,1.54213,293.534625,3,16.37,4.42618955,1.622045138,272.8770886
3624,F,low,10,23,90,90,Stress,19.85848,293.534625,3,16.37,NA,NA,NA
3625,M,cont,10,23,16,16,Baseline,0.62646,743.054895,8,11.95,NA,NA,NA
3625,M,cont,10,23,16,16,Stress,18.50945,743.054895,8,11.95,NA,NA,NA
3625,M,cont,10,23,40,40,Baseline,1.12635877,439.5177879,8,14.22,NA,NA,NA
3625,M,cont,10,23,40,40,Stress,11.14431,439.5177879,8,14.22,NA,NA,NA
3625,M,cont,10,23,90,90,Baseline,1.01035,218.753355,8,14.35,NA,NA,NA
3625,M,cont,10,23,90,90,Stress,5.66326,218.753355,8,14.35,NA,NA,NA
3626,NA,cont,13,23,16,15,Baseline,0.41981,NA,16,12.21,NA,NA,NA
3626,NA,cont,13,23,16,NA,Stress,NA,NA,16,NA,NA,NA,NA
3626,NA,cont,13,23,40,NA,Baseline,NA,NA,16,NA,NA,NA,NA
3626,NA,cont,13,23,40,NA,Stress,NA,NA,16,NA,NA,NA,NA
3626,NA,cont,13,23,90,NA,Baseline,NA,NA,16,NA,NA,NA,NA
3626,NA,cont,13,23,90,NA,Stress,NA,NA,16,NA,NA,NA,NA
3627,M,per,19,19,16,17,Baseline,4.08535,349.727835,15,12.07,NA,NA,NA
3627,M,per,19,19,16,17,Stress,20.91256,349.727835,15,12.07,NA,NA,NA
3627,M,per,19,19,40,41,Baseline,NA,NA,15,13.49,NA,NA,NA
3627,M,per,19,19,40,41,Stress,3.93314,NA,15,13.49,NA,NA,NA
3627,M,per,19,19,90,91,Baseline,3.72723,171.466245,15,12.3,NA,NA,NA
3627,M,per,19,19,90,91,Stress,8.1457,171.466245,15,12.3,NA,NA,NA
3628,F,low,19,19,16,16,Baseline,0.71588,245.84451,7,12.59,0.011229164,0.753013964,272.8770886
3628,F,low,19,19,16,16,Stress,17.33574,245.84451,7,12.59,0.245511459,14.22832966,349.9039268
3628,F,low,19,19,40,40,Baseline,1.648368621,68.60933225,7,14.05,NA,NA,NA
3628,F,low,19,19,40,40,Stress,3.0675,68.60933225,7,14.05,NA,NA,NA
3628,F,low,19,19,90,90,Baseline,1.026144311,111.7424211,7,14.88,0.03217608,2.127799815,224.5242104
3628,F,low,19,19,90,90,Stress,7.02304,111.7424211,7,14.88,NA,NA,NA
3629,M,low,23,19,16,16,Baseline,1.722685415,NA,10,12.61,NA,NA,NA
3629,M,low,23,19,16,16,Stress,NA,NA,10,12.61,NA,NA,NA
3629,M,low,23,19,40,40,Baseline,1.50746,181.13505,10,13.55,NA,NA,NA
3629,M,low,23,19,40,40,Stress,11.57496,181.13505,10,13.55,NA,NA,NA
3629,M,low,23,19,90,90,Baseline,1.722685415,116.4437693,10,13.96,NA,NA,NA
3629,M,low,23,19,90,90,Stress,6.51996,116.4437693,10,13.96,NA,NA,NA
3630,F,cont,23,19,16,16,Baseline,NA,NA,13,12.97,NA,NA,224.5242104
3630,F,cont,23,19,16,16,Stress,22.63318,NA,13,12.97,0.725063579,32.88175388,196.4443851
3630,F,cont,23,19,40,40,Baseline,0.63315,74.20572,13,13.38,NA,NA,NA
3630,F,cont,23,19,40,40,Stress,4.72287,74.20572,13,13.38,NA,NA,NA
3630,F,cont,23,19,90,90,Baseline,1.666527028,181.664186,13,14.06,0.016323784,1.090925938,439.3770338
3630,F,cont,23,19,90,90,Stress,11.41974,181.664186,13,14.06,NA,NA,NA
3631,M,low,13,26,16,16,Baseline,1.28398,156.363195,4,12.63,NA,NA,NA
3631,M,low,13,26,16,16,Stress,10.01315,156.363195,4,12.63,NA,NA,NA
3631,M,low,13,26,40,40,Baseline,1.05566,285.50787,4,14.65,NA,NA,NA
3631,M,low,13,26,40,40,Stress,19.85848,285.50787,4,14.65,NA,NA,NA
3631,M,low,13,26,90,90,Baseline,1.09106,176.82189,4,15.56,NA,NA,NA
3631,M,low,13,26,90,90,Stress,11.7644,176.82189,4,15.56,NA,NA,NA
3632,M,cont,14,26,16,16,Baseline,1.79791,225.656625,11,12.26,NA,NA,NA
3632,M,cont,14,26,16,16,Stress,14.51786,225.656625,11,12.26,NA,NA,NA
3632,M,cont,14,26,40,40,Baseline,0.52722,115.62993,11,12.85,NA,NA,NA
3632,M,cont,14,26,40,40,Stress,7.9208,115.62993,11,12.85,NA,NA,NA
3632,M,cont,14,26,90,90,Baseline,1.600460872,149.5035744,11,13.58,NA,NA,NA
3632,M,cont,14,26,90,90,Stress,9.11822,149.5035744,11,13.58,NA,NA,NA
3633,F,cont,13,26,16,16,Baseline,2.30423,231.274185,2,12.21,0.040726508,2.678095459,246.7906027
3633,F,cont,13,26,16,16,Stress,14.31514,231.274185,2,12.21,0.260314979,14.95792327,274.4580222
3633,F,cont,13,26,40,40,Baseline,1.13805,120.426345,2,14.34,NA,NA,NA
3633,F,cont,13,26,40,40,Stress,7.52952,120.426345,2,14.34,NA,NA,NA
3633,F,cont,13,26,90,90,Baseline,1.086403605,42.90808448,2,15.3,0.014849399,0.993370882,314.1338845
3633,F,cont,13,26,90,90,Stress,1.85055,42.90808448,2,15.3,NA,NA,NA
3634,F,per,23,13,16,17,Baseline,0.33228,237.37185,15,12.17,0.006006448,0.404200679,235.762739
3634,F,per,23,13,16,17,Stress,17.17698,237.37185,15,12.17,0.853623231,36.57930806,133.1878409
3634,F,per,23,13,40,41,Baseline,1.01735,169.4193,15,13.56,NA,NA,NA
3634,F,per,23,13,40,41,Stress,11.30615,169.4193,15,13.56,NA,NA,NA
3634,F,per,23,13,90,91,Baseline,1.62732041,159.8326718,15,14.45,0.028714139,1.903219294,245.2548309
3634,F,per,23,13,90,91,Stress,9.85051,159.8326718,15,14.45,NA,NA,NA
3635,M,low,26,13,16,17,Baseline,2.5539,102.01212,9,11.62,NA,NA,NA
3635,M,low,26,13,16,17,Stress,4.43502,102.01212,9,11.62,NA,NA,NA
3635,M,low,26,13,40,41,Baseline,6.46189,218.032365,9,13.64,NA,NA,NA
3635,M,low,26,13,40,41,Stress,8.25268,218.032365,9,13.64,NA,NA,NA
3635,M,low,26,13,90,91,Baseline,0.95372,27.933495,9,14.43,NA,NA,NA
3635,M,low,26,13,90,91,Stress,0.90349,27.933495,9,14.43,NA,NA,NA
3636,F,low,23,13,16,16,Baseline,2.88936,449.999685,13,11.63,0.111447026,7.002873742,117.4839727
3636,F,low,23,13,16,16,Stress,29.80187,449.999685,13,11.63,0.562705708,27.54707669,310.1801984
3636,F,low,23,13,40,40,Baseline,1.32542,267.03888,13,13.54,NA,NA,NA
3636,F,low,23,13,40,40,Stress,18.1607,267.03888,13,13.54,NA,NA,NA
3636,F,low,23,13,90,90,Baseline,11.41974,360.63441,13,14.17,0.229090854,13.40425255,244.1636459
3636,F,low,23,13,90,90,Stress,12.7562,360.63441,13,14.17,NA,NA,NA
3637,M,cont,26,13,16,16,Baseline,1.48064,376.09044,5,11.42,NA,NA,NA
3637,M,cont,26,13,16,16,Stress,26.04888,376.09044,5,11.42,NA,NA,NA
3637,M,cont,26,13,40,40,Baseline,0.54711,116.912565,5,13.32,NA,NA,NA
3637,M,cont,26,13,40,40,Stress,7.9915,116.912565,5,13.32,NA,NA,NA
3637,M,cont,26,13,90,90,Baseline,1.05632,146.281785,5,13.52,NA,NA,NA
3637,M,cont,26,13,90,90,Stress,9.54463,146.281785,5,13.52,NA,NA,NA
3638,F,per,13,13,16,16,Baseline,0.73847,403.81422,15,12.49,0.013330753,0.892685895,237.2498334
3638,F,per,13,13,16,16,Stress,29.00959,403.81422,15,12.49,2.379145167,61.64953802,131.9435926
